Month,Date,Workshop Title,Theme,Focus States,Guest Speaker,Registrations,Attendees,Attendance Rate,Avg Rating,Top Climate Event,Survey Responses,Recording Views,Social Clips Created,WhatsApp Engagement,Notes
January,2026-01-30,Introduction to Hyperlocal Climate Intelligence,Awareness,"Lagos, Kano, Rivers",Climatovate Team,,,,,,,,,
February,2026-02-27,Understanding Weather Forecasts for Farmers,Agriculture,"Kaduna, Benue, Niger",Farming Cooperative Leaders,,,,,,,,,
March,2026-03-27,Early-Warning Systems: Saving Lives & Livelihoods,Disaster Prep,"Adamawa, Borno, Taraba",NEMA Representative,,,,,,,,,
April,2026-04-24,Climate Risks for Insurers: Parametric Triggers,Insurance,"Oyo, Kwara, Osun",Insurance Industry Panel,,,,,,,,,
May,2026-05-29,Smart Logistics: Avoiding Storms & Delays,Logistics,"Lagos, Ogun, Delta",Logistics Company Rep,,,,,,,,,
June,2026-06-26,Air Quality & Health: What You Need to Know,Public Health,"Lagos, Port Harcourt, Kano",Public Health Specialist,,,,,,,,,
July,2026-07-31,Fire Risk & Prevention: Community Action,Disaster Management,"Plateau, Nasarawa, FCT",Federal Fire Service Rep,,,,,,,,,
August,2026-08-28,Drought Preparedness: Tips for Farmers,Agriculture,"Sokoto, Kebbi, Zamfara",Agricultural Extension Officers,,,,,,,,,
September,2026-09-25,Floods: Prediction Response & Recovery,Disaster Management,"Kogi, Anambra, Bayelsa",NEMA Representative,,,,,,,,,
October,2026-10-30,Disease Outbreaks & Climate: What's the Link?,Public Health,"Cross River, Enugu, Ebonyi",NCDC Representative,,,,,,,,,
November,2026-11-27,Climate Data for Decision Making,General,All Nigeria,Data Scientists,,,,,,,,,
December,2026-12-18,Year in Review & Looking Ahead,Wrap-up,All Nigeria,Previous Speakers,,,,,,,,,